Module  ExpectedPeak    MeasuredPeak    oldFactor       Ratio           Sigma           Chi2/ndf        
W1      2092.55         2220            0.122           0.942589        6.01692         3.80441e-05     
W2      2093.37         2112.37         0.109975        0.991009        84.2894         2.16874         
W3      2094.15         2053.6          0.12823         1.01975         54.4913         3.44006         
W4      2094.87         2136.04         0.149801        0.98073         33.734          2.75608         
W5      2095.55         2090.85         0.140867        1.00225         16.6765         0.442473        
W6      2096.17         2076.76         0.129893        1.00935         59.2919         0.712365        
W7      2096.74         2070.16         0.0929112       1.01284         1.69273         2.75868e-06     
W8      2097.26         4032.18         0.100754        0.520131        2.65835         7.67017e-07     
W9      2097.73         1434.43         0.0974676       1.46241         65.8552         1.53983         
W10     2098.15         2112.46         0.14979         0.993225        62.4643         1.0074          
W11     2098.51         2116.85         0.14791         0.991339        26.7648         0.658747        
W12     2098.82         2100.47         0.135351        0.999216        25.9674         1.11078         
W13     2099.08         2109.76         0.140997        0.99494         27.9886         2.32953         
W14     2099.29         2086.43         0.160224        1.00616         61.6826         4.20056         
W15     2099.45         2110.38         0.156559        0.994822        33.8305         0.854934        
W16     2099.55         2106.76         0.161608        0.996579        76.6586         2.57083         
W17     2099.61         2124.12         0.149061        0.988461        133.68          0.582239        
W18     2099.61         2096.93         0.155609        1.00127         46.2319         0.448373        
W19     2099.55         2096.77         0.152495        1.00133         199.999         0.591192        
W20     2099.45         2108.21         0.153407        0.995846        50.5098         3.92997         
W21     2099.29         2140.28         0.172538        0.980849        69.9841         1.04463         
W22     2099.08         2120.17         0.123472        0.990056        23.6117         2.32817         
W23     2098.82         2104.37         0.141934        0.997366        49.1808         0.76988         
W24     2098.51         2020.82         0.130666        1.03845         71.5152         1.03063         
W25     2098.15         2072.98         0.153066        1.01214         64.4946         0.479387        
W26     2097.73         1944.49         0.133952        1.0788          42.2029         3.37407         
W27     2097.26         2090.49         0.129303        1.00324         28.044          1.31447         
W28     2096.74         2106.1          0.136485        0.995557        35.5446         0.817509        
W29     2096.17         2142.57         0.150863        0.978345        17.5912         0.79807         
W30     2095.55         2209.12         0.154312        0.94859         199.285         3.25186         
W31     2094.87         2105.82         0.149755        0.9948          32.6799         2.19488         
W32     2094.15         2065.44         0.133054        1.0139          51.9229         0.878952        
W33     2093.37         2105.96         0.152939        0.994023        48.0096         2.40627         
W34     2092.55         2206.63         0.148147        0.9483          31.6903         1.58438         
W35     2093.37         2130.12         0.108669        0.982747        1.58653         2.04261e-06     
W36     2094.2          2117.78         0.145435        0.988866        27.0904         1.49457         
W37     2094.98         3789.5          0.139196        0.552837        3.70357         1.18698e-05     
W38     2095.7          1930.14         0.0737372       1.08578         3.79456         2.05211e-06     
W39     2096.38         2102.17         0.125137        0.997243        27.2159         2.344           
W40     2097            2296.66         0.125807        0.913065        145.467         5.95604         
W41     2097.57         2107.65         0.138323        0.995217        34.5368         3.34683         
W42     2098.09         2159.13         0.144754        0.971731        175.106         2.78791         
W43     2098.56         2103.53         0.142421        0.997638        48.4079         1.87023         
W44     2098.98         2105.48         0.126519        0.99691         41.7913         4.12611         
W45     2099.34         2101.88         0.135081        0.998795        40.0026         4.84863         
W46     2099.66         2106.05         0.141966        0.996964        36.1085         0.517026        
W47     2099.92         2111.33         0.13875         0.994597        38.9601         1.2809          
W48     2100.13         2099.28         0.153229        1.0004          44.7654         0.72484         
W49     2100.28         2102.56         0.145496        0.998919        47.5551         1.23376         
W50     2100.39         2104.47         0.155836        0.998062        33.4311         0.22243         
W51     2100.44         2099.77         0.133512        1.00032         35.4669         1.43459         
W52     2100.44         2104.18         0.15307         0.998223        44.4944         2.23116         
W53     2100.39         2125.2          0.138754        0.988323        29.1663         3.83876         
W54     2100.28         2099.55         0.135197        1.00035         45.6324         0.704096        
W55     2100.13         2102.32         0.130099        0.998956        44.7651         2.13572         
W56     2099.92         2100.72         0.121377        0.999617        43.4602         0.398626        
W57     2099.66         2109.18         0.127972        0.995486        41.8665         0.864783        
W58     2099.34         2096.06         0.146876        1.00157         52.9436         1.95865         
W59     2098.98         2131.15         0.131449        0.984904        23.8053         1.01051         
W60     2098.56         2082.41         0.123405        1.00776         54.7021         1.10248         
W61     2098.09         2092.3          0.137255        1.00277         52.8607         5.07564         
W62     2097.57         2097.95         0.142392        0.999821        41.1024         0.651667        
W63     2097            2097.94         0.142996        0.999554        45.6303         0.29546         
W64     2096.38         2103.3          0.124701        0.996707        42.5591         0.807532        
W65     2095.7          2095.99         0.129116        0.999861        52.9277         2.03574         
W66     2094.98         2126.67         0.131391        0.985097        32.1559         0.573749        
W67     2094.2          2109.92         0.150677        0.992551        53.4968         4.03012         
W68     2093.37         13726.3         0.132509        0.5             199.923         2.01065         
W69     2094.15         2150.67         0.139898        0.973717        32.5601         0.645059        
W70     2094.98         2430.18         0.116749        0.862064        1.00509         1.24577e-07     
W71     2095.75         1464.3          0.0773276       1.43123         40.7569         1.45985         
W72     2096.48         1425.14         0.0696762       1.47107         30.8841         1.02747         
W73     2097.15         2069.47         0.127853        1.01338         61.9387         4.04182         
W74     2097.78         2087.44         0.131871        1.00495         51.471          0.633985        
W75     2098.35         2097.75         0.125675        1.00029         44.5872         1.51497         
W76     2098.87         2106.66         0.12717         0.996302        47.017          3.33739         
W77     2099.34         2100.43         0.148031        0.999482        46.7361         1.61707         
W78     2099.76         2110.09         0.14567         0.995102        35.7598         0.19932         
W79     2100.13         2122.48         0.163823        0.989466        32.1318         0.39434         
W80     2100.44         2103.73         0.159118        0.998437        42.4594         0.194267        
W81     2100.7          2115.38         0.154057        0.993061        38.9712         0.480414        
W82     2100.91         2099.58         0.149387        1.00064         41.7435         1.38093         
W83     2101.07         2106.93         0.143325        0.997216        35.395          0.935243        
W84     2101.17         2112.85         0.146799        0.994472        35.3931         3.64029         
W85     2101.22         2105.84         0.13622         0.997808        35.6245         1.44679         
W86     2101.22         2102.59         0.157376        0.99935         37.4123         0.344763        
W87     2101.17         2104.25         0.135947        0.998535        49.6851         0.245027        
W88     2101.07         2098.3          0.141255        1.00132         43.2506         3.91635         
W89     2100.91         2103.53         0.121224        0.998752        45.2618         0.46718         
W90     2100.7          2102.49         0.13794         0.999148        49.5037         1.5454          
W91     2100.44         2101.58         0.144066        0.999457        41.9586         0.482406        
W92     2100.13         2106.16         0.132112        0.997136        32.9417         0.481952        
W93     2099.76         2102.27         0.143288        0.998804        30.0247         0.792204        
W94     2099.34         2094.29         0.147792        1.00241         37.4411         1.14897         
W95     2098.87         2107.61         0.130676        0.995853        43.8432         0.103024        
W96     2098.35         2099.25         0.135071        0.999571        47.7699         0.831995        
