Module  ExpectedPeak    MeasuredPeak    oldFactor       Ratio           Sigma           Chi2/ndf        
W1      2092.55         2073.35         0.122           1.00926         75.2018         1.10539         
W2      2093.37         2100.01         0.110324        0.996838        69.9345         0.614944        
W3      2094.15         2107.75         0.129063        0.993546        190.702         0.812404        
W4      2094.87         2131.79         0.149801        0.982681        32.2895         1.78995         
W5      2095.55         2099.26         0.141117        0.99823         11.6559         1.97056         
W6      2096.17         2107.84         0.130616        0.994464        93.748          1.72153         
W7      2096.74         2049.93         0.0908367       1.02284         1.05443         4.52903e-06     
W8      2097.26         1729.93         0.0831065       1.21234         1.05443         4.52905e-06     
W9      2097.73         1605.04         0.0745754       1.30697         11.3953         0.893182        
W10     2098.15         2017.07         0.144002        1.04019         66.362          1.3236          
W11     2098.51         2095.78         0.147717        1.0013          74.3729         0.416343        
W12     2098.82         2110.71         0.136117        0.994368        28.3799         0.840893        
W13     2099.08         2097.53         0.140892        1.00074         61              1.71942         
W14     2099.29         2096.71         0.160026        1.00123         45.4401         1.2236          
W15     2099.45         2105.74         0.157028        0.997014        81.8753         0.61162         
W16     2099.55         2096.12         0.161343        1.00164         65.3031         1.98101         
W17     2099.61         2100.35         0.149114        0.999646        73.6372         1.22689         
W18     2099.61         2103.05         0.155864        0.998361        41.7395         0.25359         
W19     2099.55         2100.39         0.152556        0.9996          49.893          1.04192         
W20     2099.45         2094.34         0.153034        1.00244         61.8137         0.623151        
W21     2099.29         2057.96         0.169141        1.02008         113.048         1.07958         
W22     2099.08         2099.19         0.123478        0.999951        54.2908         0.59137         
W23     2098.82         2106.17         0.14243         0.996513        42.9242         0.300628        
W24     2098.51         2086.06         0.129891        1.00597         27.2952         1.2906          
W25     2098.15         2090.8          0.15253         1.00351         52.5713         1.03879         
W26     2097.73         2347.99         0.149932        0.893416        161.151         1.06019         
W27     2097.26         2108.93         0.130022        0.994468        37.8799         0.679487        
W28     2096.74         2108.92         0.137278        0.994224        46.835          2.02821         
W29     2096.17         2087.54         0.150241        1.00413         80.4701         0.901745        
W30     2095.55         2027.66         0.149313        1.03348         81.7311         1.48972         
W31     2094.87         2089.26         0.149353        1.00269         59.1734         1.47912         
W32     2094.15         2047.84         0.130112        1.02261         49.2326         1.24852         
W33     2093.37         2153.56         0.157336        0.972053        65.0797         1.61244         
W34     2092.55         2008.07         0.148147        1.04207         29.941          1.69575         
W35     2093.37         2129.93         0.110566        0.982839        1.05443         4.52903e-06     
W36     2094.2          2079.11         0.144387        1.00726         34.3774         1.1564          
W37     2094.98         1197.02         0.0795334       1.75015         199.963         1.39976         
W38     2095.7          2109.93         0.0742377       0.993259        1.05443         4.52903e-06     
W39     2096.38         2115.14         0.126257        0.991131        33.9615         0.852503        
W40     2097            2103.92         0.126222        0.996709        62.8065         1.13859         
W41     2097.57         2095.46         0.138184        1.00101         42.9694         1.61163         
W42     2098.09         2085.84         0.143909        1.00587         114.849         0.847387        
W43     2098.56         2067.94         0.140342        1.01481         49.5639         2.42725         
W44     2098.98         2097.54         0.126432        1.00069         37.1827         0.568484        
W45     2099.34         2108.11         0.135644        0.995844        36.1171         1.47312         
W46     2099.66         2097.55         0.141824        1.001           46.5307         1.54994         
W47     2099.92         2105.19         0.139099        0.997494        47.7508         0.988333        
W48     2100.13         2098.56         0.153114        1.00075         46.9734         0.990341        
W49     2100.28         2104.74         0.145805        0.997884        47.9153         0.310666        
W50     2100.39         2098.13         0.155668        1.00107         40.6844         0.74143         
W51     2100.44         2106.55         0.1339          0.997102        44.6107         1.84248         
W52     2100.44         2099.96         0.153035        1.00023         50.8301         1.20715         
W53     2100.39         2103.05         0.13893         0.998733        50.273          2.21332         
W54     2100.28         2101.3          0.135262        0.999517        53.5112         1.21627         
W55     2100.13         2100.95         0.13015         0.99961         42.6535         0.901172        
W56     2099.92         2102.87         0.121547        0.998597        45.9246         1.47045         
W57     2099.66         2102.26         0.12813         0.99876         52.3342         0.706979        
W58     2099.34         2089.39         0.14618         1.00476         47.2666         1.12479         
W59     2098.98         2104.05         0.131766        0.997591        45.5077         0.845956        
W60     2098.56         2106.6          0.123878        0.996184        49.2085         1.28863         
W61     2098.09         2095.87         0.137109        1.00106         50.8671         1.39756         
W62     2097.57         2096.23         0.142301        1.00064         35.35           0.913719        
W63     2097            2092.02         0.142657        1.00238         46.672          0.119833        
W64     2096.38         2100.61         0.124953        0.997983        37.9844         1.26861         
W65     2095.7          2114.83         0.130295        0.990954        37.9387         1.66905         
W66     2094.98         2107.3          0.132164        0.994153        62.8775         0.625855        
W67     2094.2          2094.64         0.150709        0.999789        50.1369         0.916611        
W68     2093.37         2247.46         0.132509        0.931441        7.67606         1.01885         
W69     2094.15         2068.25         0.138168        1.01252         67.2787         2.50202         
W70     2094.98         1717.68         0.0957236       1.21965         30.0477         1.17519         
W71     2095.75         3149.93         0.116224        0.665334        1.05441         4.52317e-06     
W72     2096.48         3829.93         0.127287        0.547394        1.05438         4.51794e-06     
W73     2097.15         2115.81         0.12899         0.991184        47.7618         2.8559          
W74     2097.78         2103.53         0.132233        0.997264        49.2112         0.892018        
W75     2098.35         2104.18         0.126024        0.997231        38.4603         0.617292        
W76     2098.87         2103.97         0.127479        0.997577        47.6383         1.18128         
W77     2099.34         2091.79         0.147499        1.00361         47.6412         1.17153         
W78     2099.76         2097.45         0.14551         1.0011          41.7543         0.673122        
W79     2100.13         2093.51         0.163307        1.00316         51.0051         0.83077         
W80     2100.44         2098.09         0.15894         1.00112         45.9231         0.421426        
W81     2100.7          2096.28         0.153733        1.00211         53.3081         1.93163         
W82     2100.91         2102.1          0.149472        0.999432        39.9713         0.540505        
W83     2101.07         2101.79         0.143375        0.999656        43.971          2.5385          
W84     2101.17         2097.69         0.146556        1.00166         46.3714         1.84854         
W85     2101.22         2104.42         0.136427        0.998483        40.7397         1.87912         
W86     2101.22         2094.35         0.156861        1.00328         41.8323         0.297986        
W87     2101.17         2102.71         0.136047        0.999267        47.8185         1.16293         
W88     2101.07         2096.11         0.140922        1.00237         44.5943         0.731834        
W89     2100.91         2107.24         0.121589        0.996998        44.6862         0.342642        
W90     2100.7          2097.09         0.137703        1.00172         47.7728         1.35789         
W91     2100.44         2095.77         0.143745        1.00223         42.5743         0.671569        
W92     2100.13         2104.76         0.132404        0.997797        36.3256         1.19748         
W93     2099.76         2097.26         0.143117        1.00119         37.5584         1.79502         
W94     2099.34         2089.3          0.147085        1.00481         42.8746         1.21405         
W95     2098.87         2101.04         0.130811        0.998971        46.1388         2.10812         
W96     2098.35         2099.87         0.135169        0.999276        44.899          0.45965         
W97     2097.78         2095.81         0.141015        1.00094         35.3837         3.11963         
W98     2097.15         2098.39         0.134197        0.999413        51.7491         0.750006        
W99     2096.48         2086.92         0.142501        1.00458         49.51           3.23036         
W100    2095.75         2097.02         0.140051        0.999396        33.4897         0.894964        
W101    2094.98         2102.47         0.144804        0.996434        56.4835         1.49107         
W102    2094.15         2115.77         0.139573        0.989779        59.5891         0.8964          
