Module  ExpectedPeak    MeasuredPeak    oldFactor       Ratio           Sigma           Chi2/ndf        
W1      2092.55         2072.24         0.122           1.0098          33.4313         0.915964        
W2      2093.37         2143.69         0.108987        0.97653         71.2839         1.13887         
W3      2094.15         2013.96         0.130762        1.03982         57.7224         2.2381          
W4      2094.87         2137.11         0.149801        0.980239        19.1159         2.69577         
W5      2095.55         2089.22         0.141184        1.00303         19.3717         2.21645         
W6      2096.17         2089.65         0.131107        1.00312         47.3361         0.867287        
W7      2096.74         1757.14         0.0941041       1.19327         111.191         3.27041         
W8      2097.26         1106.05         0.052405        1.89617         12.943          1.23805         
W9      2097.73         3951.37         0.142538        0.530887        3.39699         9.47968e-06     
W10     2098.15         2225.75         0.148776        0.942671        28.3087         0.120789        
W11     2098.51         2079.05         0.146629        1.00936         50.9909         3.63299         
W12     2098.82         2094.53         0.135245        1.00205         31.9389         0.689364        
W13     2099.08         2088.31         0.140283        1.00516         62.4678         0.733961        
W14     2099.29         2101.26         0.161211        0.999062        86.7177         0.182992        
W15     2099.45         2096.29         0.155748        1.00151         55.6497         0.180058        
W16     2099.55         2093.19         0.161055        1.00304         49.8465         2.00799         
W17     2099.61         2118.73         0.147341        0.990975        31.6136         1.13334         
W18     2099.61         2098.98         0.155807        1.0003          47.5526         0.34642         
W19     2099.55         2099.58         0.152697        0.999987        43.0484         2.05295         
W20     2099.45         2092.98         0.15277         1.00309         55.3962         3.67512         
W21     2099.29         2056.55         0.169234        1.02078         200             2.35898         
W22     2099.08         2099.52         0.122244        0.999793        24.3739         1.23341         
W23     2098.82         2074.68         0.14156         1.01164         77.7389         1.27567         
W24     2098.51         2076.73         0.13569         1.01049         51.9357         0.729603        
W25     2098.15         2111.98         0.154924        0.993451        49.7334         1.68466         
W26     2097.73         2058.4          0.144508        1.01911         53.6542         3.47838         
W27     2097.26         2113.2          0.129722        0.992458        26.1296         1.95328         
W28     2096.74         2091.71         0.136485        1.00241         46.9848         1.34938         
W29     2096.17         2063.91         0.147596        1.01563         57.4977         1.16271         
W30     2095.55         1977.94         0.146379        1.05946         46.0398         3.92487         
W31     2094.87         2088.53         0.148976        1.00304         59.6725         3.34247         
W32     2094.15         2100.36         0.134904        0.997041        28.0651         1.00878         
W33     2093.37         2135.78         0.152025        0.980143        11.0918         0.776488        
W34     2092.55         2218.94         0.148147        0.943041        45.8455         1.2672          
W35     2093.37         2089.92         0.106794        1.00165         1.29866         8.75463e-07     
W36     2094.2          2060.45         0.143816        1.01638         34.8099         1.70565         
W37     2094.98         1577.79         0.0769526       1.32779         37.0457         2.52987         
W38     2095.7          3709.48         0.0800622       0.564958        4.01476         2.70433e-05     
W39     2096.38         2094.62         0.124792        1.00084         20.8878         0.24487         
W40     2097            1957.83         0.11487         1.07108         52.4635         4.60139         
W41     2097.57         2069.66         0.137662        1.01349         47.1609         1.19137         
W42     2098.09         2184.51         0.140662        0.960441        91.0442         3.39235         
W43     2098.56         2116.33         0.142084        0.991604        35.2677         0.554195        
W44     2098.98         2107.63         0.126128        0.995894        40.3728         5.80603         
W45     2099.34         2096.39         0.134918        1.00141         42.43           0.902157        
W46     2099.66         2093.5          0.141535        1.00294         42.4681         0.307254        
W47     2099.92         2092.33         0.138           1.00363         46.3544         1.77702         
W48     2100.13         2099.28         0.153291        1.0004          44.3616         1.56385         
W49     2100.28         2099.49         0.145339        1.00038         42.258          0.410294        
W50     2100.39         2096.2          0.155534        1.002           36.3767         1.33925         
W51     2100.44         2099.51         0.133555        1.00044         36.8015         1.28653         
W52     2100.44         2099.92         0.152798        1.00025         42.8592         2.21677         
W53     2100.39         2084.23         0.137134        1.00775         47.7591         3.43962         
W54     2100.28         2096.15         0.135244        1.00197         45.1307         0.206709        
