Module  ExpectedPeak    MeasuredPeak    oldFactor       Ratio           Sigma           Chi2/ndf        
W101    2094.98         2095.89         0.142721        0.999565        40.3592         1.6837          
W102    2094.15         2113.47         0.139573        0.990857        51.7107         1.24127         
W103    2094.87         2156.39         0.122           0.971471        51.8985         0.896398        
W104    2095.7          2073.46         0.117204        1.01072         81.851          1.5259          
W105    2096.48         2099.41         0.122287        0.998606        56.1384         0.449367        
W106    2097.21         2093.17         0.124142        1.00193         47.973          0.630427        
W107    2097.88         2142.49         0.113303        0.979181        51.7262         0.292747        
W108    2098.51         2150.69         0.116616        0.975737        43.1803         0.515551        
W109    2099.08         2099.96         0.127344        0.999581        49.6172         0.92775         
W110    2099.6          2118.86         0.12763         0.990913        41.64           0.438437        
W111    2100.07         2102.82         0.135005        0.998693        42.8189         0.186783        
W112    2100.49         2132.06         0.134196        0.985195        41.4762         1.31816         
W113    2100.86         2074.39         0.148278        1.01276         44.9709         1.00105         
W114    2101.17         2138.52         0.13502         0.982533        47.0583         1.39908         
W115    2101.43         2120.83         0.135919        0.990854        43.5229         0.459988        
W116    2101.64         2130.28         0.135313        0.986557        42.2214         1.91461         
W117    2101.8          2090.89         0.142878        1.00522         46.6774         1.53658         
W118    2101.9          2150.32         0.133169        0.977484        43.3519         0.917565        
W119    2101.95         2086.4          0.14233         1.00745         46.9795         0.918832        
W120    2101.95         2127.1          0.132595        0.988178        43.6799         1.55091         
W121    2101.9          2144.07         0.128425        0.980335        43.3385         0.709463        
W122    2101.8          2107.07         0.135566        0.997499        45.1099         1.09407         
W123    2101.64         2102.77         0.13639         0.999464        43.0769         0.466858        
W124    2101.43         2095.29         0.137246        1.00293         47.4792         1.84837         
W125    2101.17         2146.15         0.12773         0.979042        43.0698         0.779581        
W126    2100.86         2097.48         0.134608        1.00161         43.191          1.41312         
W127    2100.49         2116.12         0.132893        0.992613        41.6204         1.61908         
W128    2100.07         2174.58         0.121224        0.965735        37.9415         0.570948        
W129    2099.6          2078.64         0.136244        1.01009         47.7316         0.206026        
W130    2099.08         2113.78         0.132644        0.993048        39.6904         0.470768        
W131    2098.51         2103.08         0.134691        0.997826        43.329          1.98149         
W132    2097.88         2087.22         0.138407        1.00511         39.8893         0.730568        
W133    2097.21         2109.69         0.137191        0.994081        41.2415         1.30807         
W134    2096.48         2100.43         0.136402        0.99812         29.4722         0.224297        
W135    2095.7          2097.45         0.137658        0.999163        39.1332         2.09577         
W136    2094.87         2060.76         0.146361        1.01655         40.9197         1.76475         
W137    2095.54         2229.05         0.127828        0.940105        131.661         0.807071        
W138    2096.37         2083.87         0.129149        1.006           55.2304         1.21491         
W139    2097.15         2069.62         0.132595        1.0133          38.0256         1.10443         
W140    2097.88         2090.36         0.128334        1.0036          54.1998         0.932985        
W141    2098.56         2104.05         0.126326        0.997388        47.7404         1.03548         
W142    2099.18         2068.52         0.137634        1.01482         52.1547         1.02408         
W143    2099.76         2096.63         0.134567        1.00149         40.8755         1.25441         
W144    2100.28         2110.28         0.131937        0.99526         40.5755         1.27051         
W145    2100.75         2111.84         0.132585        0.994749        42.4278         0.573676        
W146    2101.17         2116.15         0.134468        0.99292         46.4548         0.535377        
W147    2101.53         2084.98         0.142447        1.00794         44.6308         1.50017         
W148    2101.85         2111.46         0.137069        0.995446        45.2301         0.635026        
W149    2102.11         2132.68         0.133145        0.985668        42.7113         1.22473         
W150    2102.32         2101.4          0.140539        1.00044         41.9305         0.827404        
W151    2102.48         2077.97         0.145496        1.01179         44.4422         0.995158        
W152    2102.58         2110.98         0.137751        0.996023        45.3097         1.15165         
W153    2102.63         2084.95         0.14487         1.00848         38.9817         1.16588         
W154    2102.63         2099.83         0.141261        1.00134         45.3009         2.98336         
W155    2102.58         2131.75         0.134648        0.98632         45.5783         0.430418        
W156    2102.48         2074.15         0.143302        1.01366         46.5441         0.898313        
W157    2102.32         2078.69         0.144428        1.01137         49.2461         0.516428        
W158    2102.11         2078.3          0.143939        1.01146         48.9943         0.715279        
W159    2101.85         2110.83         0.135236        0.995746        43.3964         0.837497        
W160    2101.53         2097.56         0.136947        1.00189         45.5577         2.227           
W161    2101.17         2084.76         0.140406        1.00787         45.0817         3.17445         
W162    2100.75         2095.58         0.136523        1.00247         50.4268         2.33002         
W163    2100.28         2120.69         0.131703        0.990376        44.2727         0.903212        
W164    2099.76         2088.08         0.136149        1.00559         50.1773         1.51032         
W165    2099.18         2139.33         0.127164        0.981233        45.8761         0.459226        
W166    2098.56         2105.59         0.136923        0.996662        48.5972         1.87272         
W167    2097.88         2068.09         0.145352        1.0144          54.205          3.07697         
W168    2097.15         2107.95         0.13447         0.994878        38.2717         1.05309         
W169    2096.37         2146.92         0.126241        0.976455        37.9291         1.11876         
W170    2095.54         2129.51         0.132601        0.984047        50.0164         0.862464        
W171    2096.16         2549.93         0.11071         0.822049        1.05442         4.52782e-06     
W172    2096.99         2078.61         0.129232        1.00884         59.1535         0.408823        
W173    2097.78         2089.29         0.132136        1.00406         32.4084         2.29983         
W174    2098.5          2129.02         0.125248        0.985669        46.3672         0.964309        
W175    2099.18         2124.28         0.127217        0.988186        44.4552         1.58854         
W176    2099.81         2070.76         0.143334        1.01403         45.3945         1.69192         
W177    2100.38         2096.9          0.138517        1.00166         46.777          0.711082        
W178    2100.91         2097.24         0.137589        1.00175         46.171          0.238292        
W179    2101.38         2079.96         0.138806        1.0103          49.4451         1.85642         
W180    2101.8          2103.34         0.13728         0.999266        44.4921         0.587144        
W181    2102.16         2107.67         0.139664        0.997387        45.9534         0.639315        
W182    2102.48         2099.58         0.139725        1.00138         44.9505         1.56189         
W183    2102.74         2071.6          0.144017        1.01503         44.0054         2.60706         
W184    2102.95         2086.26         0.142437        1.008           42.989          1.6808          
W185    2103.11         2084.8          0.14284         1.00878         48.0806         1.74199         
W186    2103.21         2151.95         0.129841        0.977349        42.0269         0.636945        
W187    2103.26         2065.12         0.149434        1.01847         46.3516         0.613208        
W188    2103.26         2085.36         0.1474          1.00859         41.1578         0.684753        
W189    2103.21         2078.31         0.14706         1.01198         46.2689         0.835527        
W190    2103.11         2137.52         0.134244        0.983901        43.1478         0.694069        
W191    2102.95         2110.09         0.137993        0.996617        45.1495         2.20261         
W192    2102.74         2096.4          0.141442        1.00302         46.7704         2.77781         
W193    2102.48         2123.46         0.135735        0.990118        42.8012         0.855266        
W194    2102.16         2116.88         0.135617        0.993049        44.0914         0.386642        
W195    2101.8          2097.13         0.140481        1.00222         47.2119         0.534445        
W196    2101.38         2082.86         0.143621        1.00889         41.36           1.0175          
W197    2100.91         2114.88         0.135918        0.99339         41.2742         0.955374        
W198    2100.38         2089.54         0.139414        1.00519         42.3015         0.649609        
W199    2099.81         2110.97         0.134847        0.994713        48.4447         0.370078        
W200    2099.18         2102.87         0.139299        0.998246        33.6703         0.831036        
W201    2098.5          2060.4          0.144457        1.01849         46.2976         2.76476         
W202    2097.78         2093.11         0.137666        1.00223         35.6891         0.606683        
W203    2096.99         2089.38         0.135949        1.00364         48.2087         0.748937        
W204    2096.16         2080.86         0.140174        1.00735         67.8909         1.24676         
W205    2096.73         1104.32         0.0745793       1.89866         199.737         2.09066         
W206    2097.57         2041.87         0.136407        1.02728         83.6707         1.19669         
W207    2098.35         2082.34         0.135758        1.00769         45.8038         1.99            
W208    2099.08         2085.23         0.135184        1.00664         50.8446         1.68848         
W209    2099.75         2136.46         0.12793         0.982818        42.2428         1.51896         
W210    2100.38         2046.28         0.147905        1.02644         50.6691         0.491007        
W211    2100.96         2101.48         0.138706        0.999749        43.595          0.651148        
W212    2101.48         2082.6          0.140528        1.00907         49.4835         0.634756        
W213    2101.95         2137.31         0.13009         0.983457        45.0577         0.495969        
W214    2102.37         2116.27         0.13749         0.993431        45.5108         0.988245        
W215    2102.74         2063.62         0.149411        1.01895         50.7119         1.37197         
W216    2103.05         2128.02         0.135286        0.988268        45.4068         0.773021        
W217    2103.31         2133.68         0.131675        0.985767        46.0471         1.0314          
W218    2103.52         2139.12         0.129914        0.98336         46.0543         0.836924        
W219    2103.68         2109.44         0.135684        0.997269        51.4535         1.24997         
W220    2103.79         2148.23         0.129622        0.97931         45.1766         1.323           
W221    2103.84         2118.84         0.13875         0.99292         43.4007         1.27598         
W222    2103.84         2105.61         0.143044        0.999157        46.1556         1.98785         
W223    2103.79         2098.67         0.144445        1.00244         45.6927         1.58336         
W224    2103.68         2117.41         0.139863        0.993519        45.5194         0.923498        
W225    2103.52         2146.71         0.133399        0.979884        47.6861         1.68813         
W226    2103.31         2096.44         0.14309         1.00328         47.076          0.839386        
W227    2103.05         2071.69         0.146737        1.01514         48.887          1.72578         
W228    2102.74         2105.13         0.139065        0.998863        46.8615         1.47479         
W229    2102.37         2114.16         0.138298        0.994425        46.1449         0.271871        
W230    2101.95         2066.81         0.148531        1.017           42.0528         2.72164         
W231    2101.48         2108.32         0.139931        0.996758        42.6301         1.27761         
W232    2100.96         2093.93         0.142891        1.00336         39.422          0.44868         
W233    2100.38         2091.38         0.146423        1.00431         46.3946         0.70191         
W234    2099.75         2138.78         0.1318          0.981754        46.3795         0.413194        
W235    2099.08         2144.67         0.130143        0.978741        27.9919         0.720137        
W236    2098.35         2154.08         0.122213        0.974125        46.842          1.21676         
W237    2097.57         2127.09         0.129639        0.986121        50.9455         1.53242         
W238    2096.73         2024.94         0.152993        1.03546         63.0256         1.4603          
W239    2097.25         1942.34         0.121652        1.07975         26.3138         1.24896         
W240    2098.09         2139.68         0.123346        0.98056         41.366          0.343902        
W241    2098.87         2079.66         0.136535        1.00924         40.6462         1.50851         
W242    2099.6          2099.15         0.138152        1.00021         36.7858         0.964984        
W243    2100.28         2088.08         0.137592        1.00584         44.9299         0.873684        
W244    2100.9          2127.57         0.131272        0.987465        39.9482         0.771259        
W245    2101.48         2133.48         0.130276        0.984999        45.9692         1.87696         
W246    2102            2100.46         0.137317        1.00073         44.6632         1.41001         
W247    2102.47         2142.65         0.131365        0.981249        47.5584         1.19102         
W248    2102.89         2092.1          0.144276        1.00516         48.4251         0.905285        
W249    2103.26         2109.09         0.144525        0.997238        46.3682         0.613588        
W250    2103.58         2120.02         0.139833        0.992242        46.1595         1.21686         
W251    2103.84         2101.85         0.141116        1.00095         48.4848         1.62021         
W252    2104.05         2119.96         0.134019        0.992493        49.3296         0.456406        
W253    2104.21         2084.74         0.141097        1.00934         50.833          1.29121         
W254    2104.31         2082.97         0.14379         1.01025         48.2606         2.23008         
W255    2104.36         2091.07         0.143361        1.00636         49.0825         0.399806        
W256    2104.36         2126.25         0.139597        0.989706        44.1294         0.840795        
W257    2104.31         2097.99         0.144969        1.00301         50.7508         1.28278         
W258    2104.21         2082.69         0.150214        1.01033         46.0551         0.760571        
W259    2104.05         2064.32         0.152002        1.01925         59.8877         1.4436          
W260    2103.84         2116.45         0.141652        0.994043        48.6143         1.88471         
W261    2103.58         2102.34         0.142455        1.00059         46.3266         1.31728         
W262    2103.26         2114.26         0.137844        0.9948          46.6108         1.03714         
W263    2102.89         2103.05         0.136863        0.999926        56.7979         1.0491          
W264    2102.47         2117.57         0.136308        0.992872        46.4714         0.524797        
W265    2102            2081.19         0.142458        1.01            42.4785         0.641307        
W266    2101.48         2136.18         0.137858        0.983757        38.1059         1.1935          
W267    2100.9          2018.31         0.165654        1.04092         51.7505         1.43905         
W268    2100.28         2031.81         0.159415        1.0337          45.0195         0.760538        
W269    2099.6          2084.96         0.134877        1.00702         42.969          0.88859         
W270    2098.87         2112.92         0.131924        0.993351        43.2421         1.02469         
W271    2098.09         2084.27         0.142196        1.00663         48.5673         1.30228         
W272    2097.25         2095.95         0.142841        1.00062         69.218          1.97791         
W273    2097.72         2081.78         0.140689        1.00766         40.7353         0.954286        
W274    2098.55         2072.58         0.138915        1.01253         50.4946         1.30857         
W275    2099.33         2104.77         0.134508        0.997419        44.5051         0.283667        
W276    2100.07         2061.69         0.143927        1.01862         45.9347         0.978651        
W277    2100.75         2090.71         0.137992        1.0048          46.2622         1.10821         
W278    2101.37         2108.07         0.132966        0.996824        48.0017         0.979824        
W279    2101.95         2087.12         0.137068        1.00711         51.6491         1.05631         
W280    2102.47         2090.28         0.141109        1.00583         41.3233         1.4444          
W281    2102.95         2074.45         0.146535        1.01374         47.8903         1.54415         
W282    2103.37         2079.72         0.149272        1.01137         49.011          0.478085        
W283    2103.73         2057.17         0.154743        1.02264         47.3247         1.19478         
W284    2104.05         2088.33         0.148866        1.00753         43.1081         0.451766        
W285    2104.31         2050.16         0.15395         1.02641         47.1779         1.15562         
W286    2104.52         2130.62         0.133073        0.98775         45.2825         0.652458        
W287    2104.68         2116.07         0.135661        0.994615        43.4786         0.559365        
W288    2104.78         2089.84         0.141668        1.00715         52.0308         0.613721        
W289    2104.84         2123.27         0.139125        0.991317        45.2395         0.698761        
W290    2104.84         2053.95         0.152346        1.02478         51.2993         0.709945        
W291    2104.78         2160.03         0.134491        0.974422        52.0113         0.838873        
W292    2104.68         2065.86         0.153027        1.01879         50.8263         1.93617         
W293    2104.52         2148.33         0.138974        0.979606        45.5326         1.10511         
W294    2104.31         2089.41         0.14538         1.00713         59.5844         1.08934         
W295    2104.05         2095.79         0.143539        1.00394         49.5931         1.42326         
W296    2103.73         2094.79         0.141738        1.00427         47.1336         0.584693        
W297    2103.37         2159.23         0.127707        0.974129        43.9488         0.901174        
W298    2102.95         2108.37         0.134176        0.997429        47.4337         0.471135        
W299    2102.47         2156.47         0.129697        0.97496         37.9645         2.1765          
W300    2101.95         2062.46         0.148197        1.01915         42.1668         1.3012          
W301    2101.37         2135.25         0.135439        0.984132        43.2831         0.998495        
W302    2100.75         2090.69         0.143531        1.00481         43.475          0.937244        
W303    2100.07         2098.37         0.13754         1.00081         43.9241         1.02493         
W304    2099.33         2113.74         0.136688        0.993185        44.9203         1.80275         
W305    2098.55         2074.34         0.146322        1.01167         38.3977         1.0552          
W306    2097.72         2105.12         0.142861        0.996486        38.6257         0.720413        
W307    2098.14         2128.1          0.139712        0.985917        58.343          1.95087         
W308    2098.97         2137.89         0.127275        0.981796        45.9057         0.374327        
W309    2099.75         2105.91         0.131124        0.997074        41.0267         0.622681        
W310    2100.48         2134.43         0.129267        0.984094        37.687          0.528413        
W311    2101.16         2110.13         0.132513        0.995751        45.4073         0.712871        
W312    2101.79         2120.93         0.129196        0.990977        49.5941         2.30805         
W313    2102.37         2107.46         0.132255        0.997582        50.1815         1.4522          
W314    2102.89         2100.04         0.137128        1.00136         50.4893         1.01214         
W315    2103.36         2088.24         0.141311        1.00724         46.1824         1.27707         
W316    2103.78         2139.38         0.133368        0.98336         47.3495         1.2235          
W317    2104.15         2153.79         0.131828        0.976951        42.9662         1.05221         
W318    2104.47         2118.1          0.140015        0.993564        42.1573         2.2703          
W319    2104.73         2076.17         0.147773        1.01376         46.7827         1.48004         
W320    2104.94         2134.65         0.134083        0.986085        44.8621         0.816869        
W321    2105.1          2102            0.137562        1.00147         51.5821         2.50195         
W322    2105.2          2173.18         0.127307        0.96872         50.0043         0.832038        
W323    2105.26         2096.39         0.143883        1.00423         49.38           0.930687        
W324    2105.26         2108.59         0.144097        0.998418        43.0285         0.962951        
W325    2105.2          2137.63         0.138147        0.984833        46.5422         2.18195         
W326    2105.1          2095.56         0.147971        1.00455         44.7033         1.64772         
W327    2104.94         2076.48         0.150248        1.01371         47.6644         1.85376         
W328    2104.73         2127.35         0.138393        0.989366        49.372          2.29041         
W329    2104.47         2110.86         0.139526        0.996971        48.9144         1.37698         
W330    2104.15         2078.96         0.144831        1.01212         46.6734         0.95586         
W331    2103.78         2076.04         0.144029        1.01336         48.8123         0.869397        
W332    2103.36         2114.91         0.136722        0.994539        59.085          1.69289         
W333    2102.89         2032.39         0.153651        1.03469         50.5392         0.970969        
W334    2102.37         2082.1          0.14564         1.00973         47.7864         1.28521         
W335    2101.79         2120.93         0.1327          0.990978        51.8156         0.458766        
W336    2101.16         2123.84         0.130565        0.989324        39.7629         0.508924        
W337    2100.48         2120.24         0.132328        0.990681        43.7789         0.825232        
W338    2099.75         2046.35         0.145908        1.0261          47.7096         0.75405         
W339    2098.97         2124.86         0.133006        0.987813        45.2565         2.68059         
W340    2098.14         2095.85         0.138735        1.00109         71.5928         1.51691         
W341    2098.5          2112.64         0.131351        0.993305        83.3412         1.74407         
W342    2099.33         2094.06         0.132345        1.00252         43.7807         1.14389         
W343    2100.12         2098.7          0.132783        1.00067         39.5924         0.27877         
W344    2100.85         2080.01         0.137902        1.01002         44.8695         0.856084        
W345    2101.53         2073.34         0.140044        1.01359         45.7885         1.34446         
W346    2102.16         2116.12         0.130071        0.993403        54.6068         0.942346        
W347    2102.73         2130.46         0.125569        0.986987        47.6957         1.90292         
W348    2103.26         2128.74         0.127943        0.988032        50.6435         1.23346         
W349    2103.73         2126.09         0.132351        0.989481        45.5094         0.745771        
W350    2104.15         2096.04         0.13996         1.00387         47.5774         0.322672        
W351    2104.52         2088.58         0.143834        1.00763         49.4398         0.955528        
W352    2104.84         2110.33         0.139613        0.997397        46.8884         3.81707         
W353    2105.1          2167.83         0.129123        0.971061        42.7485         3.79559         
W354    2105.31         2076.9          0.144343        1.01368         48.5869         0.638595        
W355    2105.47         2099.83         0.142668        1.00269         45.7137         1.03443         
W356    2105.57         2095.53         0.144849        1.00479         50.8622         2.25112         
W357    2105.63         2098.19         0.147242        1.00354         45.2254         1.38245         
W358    2105.63         2091.19         0.148276        1.0069          46.175          1.71821         
W359    2105.57         2086.24         0.148632        1.00927         50.6757         1.07744         
W360    2105.47         2118.79         0.143404        0.993713        44.5104         2.58019         
W361    2105.31         2096.4          0.145322        1.00425         54.7546         2.93839         
W362    2105.1          2112.67         0.139779        0.996416        48.8501         0.607511        
W363    2104.84         2102.78         0.138319        1.00098         48.3895         1.36522         
W364    2104.52         2127.83         0.13384         0.989044        44.1333         1.36318         
W365    2104.15         2090.86         0.14211         1.00636         57.1691         2.96673         
W366    2103.73         2135.28         0.131982        0.985225        65.4423         1.74634         
W367    2103.26         2145.23         0.130428        0.980436        62.2399         2.34497         
W368    2102.73         2082.64         0.139846        1.00965         52.9522         0.697692        
W369    2102.16         2113.03         0.131502        0.994854        46.695          0.903465        
W370    2101.53         2140.61         0.126023        0.981743        52.9236         2.25994         
W371    2100.85         2098.06         0.133574        1.00133         52.0654         1.54365         
W372    2100.12         2113.87         0.132732        0.993494        49.3165         1.72756         
W373    2099.33         2118.83         0.131521        0.990798        42.8638         1.25488         
W374    2098.5          2099.78         0.137821        0.99939         87.7589         0.888444        
W375    2098.81         2089.7          0.128424        1.00436         80.0062         2.15651         
W376    2099.65         2107.83         0.129285        0.996119        44.007          0.758594        
W377    2100.43         2079.71         0.135753        1.00996         45.6386         1.54496         
W378    2101.16         2117.72         0.13177         0.99218         44.2312         0.97568         
W379    2101.84         2087.88         0.137298        1.00669         39.3541         0.413274        
W380    2102.47         2097.7          0.134663        1.00228         47.2186         0.908612        
W381    2103.05         2106.9          0.131305        0.998172        45.5312         0.546579        
W382    2103.57         2100.59         0.134042        1.00142         47.0312         1.05553         
W383    2104.05         2097.75         0.140579        1.003           51.4372         1.16506         
W384    2104.47         2121.46         0.136801        0.991989        51.0556         3.02369         
W385    2104.83         2078.86         0.146705        1.01249         52.7502         0.519957        
W386    2105.15         2085.44         0.146196        1.00945         52.4313         3.9116          
W387    2105.41         2081.05         0.144395        1.01171         51.4698         1.70696         
W388    2105.62         2127.15         0.136256        0.989882        42.3691         2.35402         
W389    2105.78         2104.79         0.142562        1.00047         48.1559         0.460202        
W390    2105.89         2116.62         0.145645        0.994931        47.4001         3.76135         
W391    2105.94         2100.81         0.150566        1.00244         49.6019         0.929644        
W392    2105.94         2160.13         0.139123        0.974916        47.2454         4.40928         
W393    2105.89         2122.52         0.144808        0.992166        52.6588         10.0033         
W394    2105.78         2092.69         0.147454        1.00626         50.0037         3.36931         
W395    2105.62         2139.27         0.13878         0.984271        46.5394         0.685864        
W396    2105.41         2110.41         0.142159        0.997633        47.0073         1.63031         
W397    2105.15         2123.12         0.135077        0.991538        44.465          2.71017         
W398    2104.83         2162.62         0.125879        0.973282        45.5015         2.97611         
W399    2104.47         2069.58         0.147493        1.01685         51.3675         0.604617        
W400    2104.05         2085.35         0.145243        1.00896         55.173          2.73299         
W401    2103.57         2115.81         0.134381        0.994219        56.8145         0.728602        
W402    2103.05         2145.13         0.127974        0.980382        47.482          1.61351         
W403    2102.47         2117.52         0.131052        0.992892        39.7032         0.904508        
W404    2101.84         2118.61         0.133958        0.992087        38.4454         1.35485         
W405    2101.16         2071.45         0.141102        1.01435         45.8929         0.800594        
W406    2100.43         2101.34         0.134816        0.999568        49.4527         0.977556        
W407    2099.65         2106.7          0.13407         0.996654        55.4559         1.08114         
W408    2098.81         2103.21         0.137882        0.997911        32.3129         1.68993         
W409    2099.07         2089.62         0.131853        1.00452         91.2945         1.1944          
W410    2099.91         2124.12         0.126171        0.988601        49.9543         1.87534         
