Module  ExpectedPeak    MeasuredPeak    oldFactor       Ratio           Sigma           Chi2/ndf        
W1      2092.55         2074.52         0.122           1.00869         40.0497         1.35968         
W2      2093.37         2117.23         0.113167        0.988733        43.8226         1.41569         
W3      2094.15         2030.38         0.118885        1.03141         125.41          1.70865         
W4              2094.87         1988.99         1.05323         68.8297         2.37062         
W5      2095.55         2040.84         0.137039        1.02681         14.9363         0.775027        
W6      2096.17         2085.04         0.129758        1.00534         84.3359         1.14094         
W7      2096.74         2509.93         0.105272        0.83538         1.05442         4.52813e-06     
W8      2097.26         4769.93         0.151366        0.5             1.05436         4.5108e-06      
W9      2097.73         2084.46         0.147305        1.00637         82.6596         1.35967         
W10     2098.15         2094.34         0.137058        1.00182         30.7168         0.917978        
W11     2098.51         2073.92         0.145272        1.01186         78.0275         1.54339         
W12     2098.82         2118.11         0.138787        0.990892        47.1893         0.333963        
W13     2099.08         2107.72         0.141243        0.995901        60.8924         1.26024         
W14     2099.29         2098.21         0.159178        1.00051         33.886          1.23347         
W15     2099.45         2109.64         0.156654        0.995169        49.1238         1.78572         
W16     2099.55         2076.28         0.159112        1.01121         63.9253         2.03199         
W17     2099.61         2103.55         0.149451        0.998127        88.2905         1.26233         
W18     2099.61         2083.53         0.154012        1.00772         45.3388         0.431109        
W19     2099.55         2095.98         0.151346        1.00171         35.2515         0.51768         
W20     2099.45         2091.34         0.152947        1.00388         64.5931         1.2558          
W21     2099.29         2010.12         0.16444         1.04436         89.6812         1.76741         
W22     2099.08         2126.8          0.126326        0.986971        51.1019         0.464805        
W23     2098.82         2036.79         0.136972        1.03046         75.973          0.792724        
W24     2098.51         2168.7          0.137642        0.967638        19.8005         1.79617         
W25     2098.15         2061.17         0.148214        1.01794         63.5854         0.505031        
W26     2097.73         2054.65         0.147165        1.02097         85.728          1.48032         
W27     2097.26         2143.52         0.133607        0.978419        40.802          1.39845         
W28     2096.74         2119.94         0.139012        0.989057        51.4011         1.23665         
W29     2096.17         2070.13         0.148167        1.01258         89.142          0.15395         
W30     2095.55         2073.29         0.153489        1.01074         70.7452         1.23517         
W31     2094.87         2075.92         0.145108        1.00913         37.2392         1.24032         
W32     2094.15         2391.57         0.140202        0.875637        39.8612         0.955018        
W33     2093.37         2989.51         0.230657        0.700239        12.2022         0.719715        
W34             2092.55         2260.77         0.925592        225.131         1               
W35     2093.37         2189.93         0.118791        0.955911        1.05443         4.52903e-06     
W36     2094.2          2038.58         0.139977        1.02728         83.0471         1.85141         
W37     2094.98         839.213         0.0708012       2               200             1.71217         
W38     2095.7          1929.93         0.061           1.0859          1.05443         4.52904e-06     
W39     2096.38         2105.08         0.126908        0.995865        27.4473         0.906556        
W40     2097            2096.43         0.126535        1.00027         60.802          1.07044         
W41     2097.57         2059.82         0.134593        1.01833         51.3322         1.73389         
W42     2098.09         2083.56         0.141105        1.00698         49.8266         1.13916         
W43     2098.56         2101.97         0.139769        0.99838         39.5886         1.69664         
W44     2098.98         2159.28         0.130719        0.972073        37.5515         1.26979         
W45     2099.34         2127.14         0.138276        0.986931        42.0922         0.628112        
W46     2099.66         2110.17         0.14278         0.995019        44.9888         0.393137        
W47     2099.92         2127.86         0.141591        0.986866        46.2206         0.228494        
W48     2100.13         2090.13         0.152013        1.00478         47.0509         1.19603         
W49     2100.28         2119.85         0.147556        0.990769        50.1279         0.343629        
W50     2100.39         2083.97         0.153859        1.00788         42.914          0.918893        
W51     2100.44         2150.37         0.138357        0.976782        44.5442         0.304173        
W52     2100.44         2082.46         0.151214        1.00864         50.8383         0.879889        
W53     2100.39         2120.82         0.140744        0.990368        51.0279         1.69257         
W54     2100.28         2116.18         0.136666        0.992486        50.8951         0.824291        
W55     2100.13         2108.71         0.13092         0.995931        51.0235         1.1857          
W56     2099.92         2145.42         0.124961        0.97879         45.8251         1.26793         
W57     2099.66         2129.43         0.130724        0.986019        46.4664         0.868285        
W58     2099.34         2068.69         0.142981        1.01482         52.0814         1.65066         
W59     2098.98         2125.45         0.134194        0.987545        47.1174         2.04861         
W60     2098.56         2154.27         0.128419        0.974142        49.4673         0.454997        
W61     2098.09         2096.32         0.136507        1.00085         52.4502         0.613701        
W62     2097.57         2085.2          0.140951        1.00593         37.4546         0.56899         
W63     2097            2086.43         0.141578        1.00507         48.4028         1.99531         
W64     2096.38         2153.27         0.129545        0.973578        40.5344         1.90305         
W65     2095.7          2130.04         0.132266        0.983878        50.2295         0.832299        
W66     2094.98         2159.24         0.134383        0.970238        47.0558         1.15952         
W67     2094.2          2317.11         0.148752        0.903796        44.0613         1.29602         
W68     2093.37         2191.61         0.132509        0.955176        31.4907         0.810533        
W69     2094.15         1972.72         0.138168        1.06155         43.5345         1.34534         
W70     2094.98         1221.37         0.061           1.71527         130.771         1.00647         
W71     2095.75         2829.93         0.0916447       0.740568        1.05441         4.52565e-06     
W72     2096.48         3529.93         0.12801         0.593916        1.05439         4.52024e-06     
W73     2097.15         1922.82         0.113189        1.09067         64.7288         0.916995        
W74     2097.78         2058.72         0.129222        1.01897         53.1233         3.40488         
W75     2098.35         2108.36         0.127098        0.995251        41.5183         1.21595         
W76     2098.87         2126.3          0.129419        0.987099        46.3178         0.500148        
W77     2099.34         2065.69         0.1441          1.01629         49.2168         2.01777         
W78     2099.76         2087.5          0.144359        1.00587         44.0692         0.910266        
W79     2100.13         2040.39         0.157374        1.02928         50.862          1.13625         
W80     2100.44         2060.25         0.155117        1.0195          47.0214         1.35232         
W81     2100.7          2072.61         0.151008        1.01355         49.3438         1.63579         
W82     2100.91         2090.18         0.148344        1.00513         44.9677         0.593087        
W83     2101.07         2109.49         0.144005        0.996005        42.0987         1.98073         
W84     2101.17         2095.68         0.145757        1.00262         47.3708         1.12735         
W85     2101.22         2126.93         0.138793        0.987914        43.7304         1.96174         
W86     2101.22         2053.07         0.151945        1.02346         40.8977         1.47742         
W87     2101.17         2115.75         0.137232        0.993109        45.1782         0.4318          
W88     2101.07         2083.98         0.138922        1.0082          45.7539         0.418899        
W89     2100.91         2153            0.125557        0.975807        43.6079         0.336782        
W90     2100.7          2088.53         0.136364        1.00583         47.3303         1.46354         
W91     2100.44         2065.97         0.140365        1.01668         51.1719         0.408654        
W92     2100.13         2119.54         0.134213        0.99084         35.6485         0.49172         
W93     2099.76         2073.7          0.140812        1.01257         41.0786         0.7042          
W94     2099.34         2053.07         0.142727        1.02254         46.5188         0.660024        
W95     2098.87         2123.9          0.132499        0.988217        40.0134         2.74948         
W96     2098.35         2103.25         0.135556        0.99767         44.3681         0.703304        
W97     2097.78         2083.84         0.139836        1.00669         38.0131         2.45542         
W98     2097.15         2108.8          0.135193        0.994476        45.4111         1.10493         
W99     2096.48         2083.78         0.140964        1.0061          42.8633         1.91846         
W100    2095.75         2090.85         0.139249        1.00234         33.2247         0.259831        
