Module  ExpectedPeak    MeasuredPeak    oldFactor       Ratio           Sigma           Chi2/ndf        
W1      2092.55         2067.05         0.122           1.01233         70.1694         1.54782         
W2      2093.37         2123.11         0.111892        0.985993        64.1657         2.2129          
W3      2094.15         1989.59         0.122619        1.05255         39.9294         0.573485        
W4      2094.87         2145.91         0.149801        0.976219        19.9286         0.531593        
W5      2095.55         2089.54         0.140713        1.00288         13.7917         1.26365         
W6      2096.17         2093.51         0.13045         1.00127         89.6156         1.32755         
W7      2096.74         2029.93         0.087942        1.03292         1.05443         4.52903e-06     
W8      2097.26         1909.93         0.0756831       1.09809         1.05443         4.52904e-06     
W9      2097.73         4169.93         0.148243        0.503062        1.05437         4.51535e-06     
W10     2098.15         2000.59         0.137307        1.04876         87.0849         0.644184        
W11     2098.51         2088.24         0.146995        1.00492         66.5064         0.883248        
W12     2098.82         2120.5          0.137523        0.98978         32.34           0.416501        
W13     2099.08         2095.68         0.140664        1.00162         58.7556         1.33432         
W14     2099.29         2089.24         0.15926         1.00481         44.3689         1.15227         
W15     2099.45         2084.34         0.155897        1.00725         91.9267         0.721258        
W16     2099.55         2093.73         0.160896        1.00278         59.1372         1.8304          
W17     2099.61         2100.4          0.149171        0.99962         72.3419         1.19904         
W18     2099.61         2090.67         0.155201        1.00428         47.1791         0.225881        
W19     2099.55         2086.46         0.151605        1.00627         55.1112         0.263185        
W20     2099.45         2106.39         0.15354         0.996704        60.0826         1.53047         
W21     2099.29         2131.49         0.171735        0.984895        33.8854         1.7675          
W22     2099.08         2119.52         0.12468         0.990357        54.9063         0.736999        
W23     2098.82         2079.86         0.141143        1.00912         79.0341         2.06789         
W24     2098.51         2151.78         0.133188        0.975246        67.1599         2.01519         
W25     2098.15         2075.35         0.150873        1.01098         50.1982         0.969231        
W26     2097.73         2102.2          0.150251        0.997875        113.201         1.06683         
W27     2097.26         2108.59         0.130724        0.994629        48.9136         0.894984        
W28     2096.74         2123.23         0.139012        0.987525        55.4576         1.09439         
W29     2096.17         2093.24         0.150031        1.0014          59.3931         0.549076        
W30     2095.55         2177.28         0.155137        0.96246         34.4883         0.878908        
W31     2094.87         2053.91         0.146433        1.01995         79.7225         0.528766        
W32     2094.15         1975.91         0.122766        1.05984         54.8111         0.518745        
W33     2093.37         2148.97         0.161515        0.974127        82.8312         0.626516        
W34     2092.55         1979.82         0.148147        1.05694         84.8511         1.51717         
W35     2093.37         2149.93         0.113553        0.973696        1.05443         4.52903e-06     
W36     2094.2          2085.63         0.143796        1.00411         37.7245         0.865406        
W37     2094.98         3729.93         0.141602        0.561667        1.05439         4.51871e-06     
W38     2095.7          1869.93         0.0662398       1.12074         1.05443         4.52904e-06     
W39     2096.38         2098.48         0.126383        0.998999        39.2286         1.0964          
W40     2097            2102.77         0.12657         0.997255        64.4781         0.560696        
W41     2097.57         2080.5          0.13706         1.0082          41.0228         0.658428        
W42     2098.09         2071.56         0.142089        1.01281         108.966         3.16607         
W43     2098.56         2086.61         0.139543        1.00573         44.8632         0.868142        
W44     2098.98         2109.54         0.127068        0.994994        40.9152         1.47125         
W45     2099.34         2112.1          0.136469        0.99396         40.8798         0.408068        
W46     2099.66         2103.28         0.142069        0.998275        42.3531         0.903879        
W47     2099.92         2109.46         0.139731        0.995476        46.9295         1.13261         
W48     2100.13         2095            0.152741        1.00245         45.7201         0.857017        
W49     2100.28         2105.89         0.146194        0.997336        48.2451         0.886884        
W50     2100.39         2092.33         0.155071        1.00385         42.0067         1.28329         
W51     2100.44         2119.97         0.135145        0.990789        39.9398         0.781529        
W52     2100.44         2093.36         0.15252         1.00338         53.6083         2.01962         
W53     2100.39         2107.32         0.139388        0.996713        49.5957         2.68502         
W54     2100.28         2106.13         0.135639        0.997222        53.7649         1.56414         
W55     2100.13         2103.95         0.130387        0.998182        48.6423         0.635651        
W56     2099.92         2113.1          0.12231         0.993763        46.458          0.640866        
W57     2099.66         2112.2          0.128896        0.99406         48.111          0.390171        
W58     2099.34         2083.84         0.1451          1.00744         49.3778         1.0873          
W59     2098.98         2111.02         0.132522        0.994295        46.0029         1.64403         
W60     2098.56         2119.24         0.125098        0.990241        47.4004         0.621094        
W61     2098.09         2090.65         0.136622        1.00356         50.7373         1.05458         
W62     2097.57         2089.99         0.141787        1.00363         40.7058         0.299793        
W63     2097            2091.68         0.142295        1.00254         42.6319         0.352252        
W64     2096.38         2115.99         0.126122        0.990732        47.2493         1.46734         
W65     2095.7          2093.11         0.130134        1.00124         47.3656         0.958335        
W66     2094.98         2066.75         0.130383        1.01366         45.8138         1.08907         
W67     2094.2          1868.15         0.134442        1.121           120.367         3.30804         
W68     2093.37         2163.44         0.132509        0.967615        76.4074         2.37215         
W69     2094.15         2114.89         0.138168        0.990191        36.6211         2.13722         
W70     2094.98         2289.93         0.104631        0.914866        1.05443         4.52902e-06     
W71     2095.75         1223.82         0.0678691       1.71247         64.9036         0.807989        
W72     2096.48         1252.21         0.0760274       1.67423         200             1.97497         
W73     2097.15         2007.1          0.123451        1.04487         69.9684         1.18994         
W74     2097.78         2088.91         0.131674        1.00425         53.0246         0.601495        
W75     2098.35         2106.18         0.126494        0.996281        37.7146         0.53679         
W76     2098.87         2103.33         0.12775         0.997882        50.9038         0.655749        
W77     2099.34         2084.38         0.146447        1.00718         45.2423         1.20401         
W78     2099.76         2095.39         0.145207        1.00209         39.9547         1.36694         
W79     2100.13         2083.08         0.161982        1.00818         48.2362         1.43383         
W80     2100.44         2089.9          0.158143        1.00504         45.5325         1.4578          
W81     2100.7          2091.43         0.153055        1.00443         48.9952         1.55582         
W82     2100.91         2095.77         0.149106        1.00245         44.8279         0.915769        
W83     2101.07         2101.88         0.14343         0.999615        43.7793         2.21586         
W84     2101.17         2095.19         0.146139        1.00285         47.2759         1.45776         
W85     2101.22         2111.82         0.137116        0.994982        39.8307         1.2029          
W86     2101.22         2083.11         0.155509        1.0087          42.6659         1.61293         
W87     2101.17         2104.86         0.136286        0.998245        47.1234         1.51518         
W88     2101.07         2088.24         0.140061        1.00614         44.4386         0.980364        
W89     2100.91         2116.99         0.122519        0.992406        44.3119         0.388346        
W90     2100.7          2092.4          0.137159        1.00397         49.0146         1.50062         
W91     2100.44         2085.26         0.142706        1.00728         44.6674         1.99036         
W92     2100.13         2109.31         0.132983        0.995644        36.6123         1.24971         
W93     2099.76         2091.91         0.142582        1.00375         38.7752         0.770906        
W94     2099.34         2083.06         0.145944        1.00782         43.3971         0.714606        
W95     2098.87         2100.9          0.130937        0.999034        46.4343         2.10104         
W96     2098.35         2099.46         0.13524         0.999473        43.977          0.349084        
W97     2097.78         2094.15         0.140771        1.00173         34.3505         1.75939         
W98     2097.15         2101.04         0.134446        0.998152        53.8262         1.03117         
W99     2096.48         2086.52         0.141824        1.00477         41.2193         3.59985         
W100    2095.75         2088.63         0.139575        1.00341         37.0655         1.01748         
W101    2094.98         2063.94         0.142659        1.01503         61.07           1.59528         
W102    2094.15         2114.98         0.139573        0.990149        58.1912         0.743293        
W103    2094.87         2159.96         0.122           0.969863        72.8259         1.65746         
W104    2095.7          2093.6          0.118461        1.001           64.6258         3.02459         
W105    2096.48         2106.24         0.122116        0.995367        51.9133         1.81971         
W106    2097.21         2053.67         0.124382        1.0212          70.2024         1.25723         
W107    2097.88         2108.04         0.110945        0.995183        49.8564         1.77581         
W108    2098.51         2118.62         0.113787        0.990504        38.9809         0.877951        
W109    2099.08         2095.16         0.127291        1.00187         46.9121         1.41463         
W110    2099.6          2103.01         0.12647         0.99838         41.522          1.39104         
W111    2100.07         2096.73         0.134828        1.00159         44.4209         0.552535        
W112    2100.49         2113.69         0.132209        0.993756        42.4562         1.03552         
W113    2100.86         2094.54         0.15017         1.00302         41.9975         0.858746        
W114    2101.17         2115.48         0.132661        0.993235        48.9612         0.578483        
W115    2101.43         2104.64         0.134675        0.998477        43.3493         0.850911        
W116    2101.64         2110.6          0.133494        0.995754        42.3924         1.48342         
W117    2101.8          2096.8          0.143623        1.00238         43.6248         0.628922        
W118    2101.9          2115.78         0.13017         0.99344         44.6319         0.715831        
W119    2101.95         2092.22         0.143391        1.00465         46.6692         1.47553         
W120    2101.95         2107.82         0.131027        0.997219        43.6501         1.48653         
W121    2101.9          2110.8          0.1259          0.995783        42.4468         0.60995         
W122    2101.8          2102.87         0.135227        0.999491        43.7295         0.924615        
W123    2101.64         2100.99         0.136317        1.00031         44.5342         0.94726         
W124    2101.43         2097.7          0.137648        1.00178         46.8713         3.13467         
W125    2101.17         2117.1          0.125053        0.992476        43.5167         0.808833        
W126    2100.86         2096.87         0.134824        1.0019          41.3869         0.992179        
W127    2100.49         2103.94         0.131912        0.99836         41.3489         0.387231        
W128    2100.07         2130.13         0.117071        0.985891        38.9432         0.823308        
W129    2099.6          2089.38         0.137618        1.00489         45.0106         0.827839        
W130    2099.08         2100.18         0.131722        0.999475        47.1457         0.905956        
W131    2098.51         2098.75         0.134399        0.999883        44.0606         1.53059         
W132    2097.88         2094.05         0.139114        1.00183         40.0777         0.353039        
W133    2097.21         2101.44         0.136379        0.997987        43.7952         0.22844         
W134    2096.48         2095.91         0.136146        1.00027         31.5979         0.443092        
W135    2095.7          2097.54         0.137543        0.999124        41.2471         1.12196         
W136    2094.87         2080.3          0.148784        1.007           49.2173         1.68829         
W137            2095.54         1973.68         1.06174         90.5951         1               
W138    2096.37         2089.77         0.129925        1.00316         58.2202         0.702083        
W139    2097.15         2085.48         0.134359        1.0056          39.4485         1.45165         
W140    2097.88         2090.69         0.128796        1.00344         52.9782         1.42769         
W141    2098.56         2097            0.125996        1.00074         47.376          1.00878         
