Module  ExpectedPeak    MeasuredPeak    oldFactor       Ratio           Sigma           Chi2/ndf        
W142    2099.18         2087.19         0.139675        1.00575         49.34           1.53413         
W143    2099.76         2098.97         0.134767        1.00038         41.0996         1.70798         
W144    2100.28         2100.46         0.131312        0.999914        41.4677         0.734826        
W145    2100.75         2103.3          0.131889        0.998786        41.2787         0.805218        
W146    2101.17         2105.31         0.133516        0.998033        44.4097         1.16097         
W147    2101.53         2095.77         0.143578        1.00275         42.7528         2.88007         
W148    2101.85         2103.32         0.136445        0.999301        42.2043         1.43598         
W149    2102.11         2107.8          0.131236        0.997299        47.747          2.13277         
W150    2102.32         2101.89         0.1406          1.0002          40.8972         0.836554        
W151    2102.48         2094.93         0.147212        1.0036          43.2347         1.39415         
W152    2102.58         2103.12         0.137203        0.999744        44.171          1.77895         
W153    2102.63         2098.03         0.146099        1.00219         39.4578         1.86501         
W154    2102.63         2104.18         0.14145         0.999268        41.5248         2.96703         
W155    2102.58         2112.59         0.132806        0.995261        45.1124         0.907781        
W156    2102.48         2090.4          0.145259        1.00578         44.5075         0.464616        
W157    2102.32         2095.72         0.14607         1.00315         48.1681         0.577498        
W158    2102.11         2095.87         0.145588        1.00298         48.4641         0.537323        
W159    2101.85         2101.9          0.13466         0.999975        42.4643         1.15171         
W160    2101.53         2099.21         0.137206        1.00111         43.4506         0.685366        
W161    2101.17         2094.87         0.141511        1.00301         43.7701         0.851537        
W162    2100.75         2096.37         0.13686         1.00209         50.4896         0.592477        
W163    2100.28         2107.7          0.130436        0.996478        43.9921         0.539731        
W164    2099.76         2092.37         0.13691         1.00353         49.4131         1.02471         
W165    2099.18         2109.06         0.124777        0.995315        43.9894         0.434473        
W166    2098.56         2102.15         0.136466        0.998292        47.8737         0.960186        
W167    2097.88         2087.86         0.147446        1.0048          52.8215         1.39825         
W168    2097.15         2094.71         0.133781        1.00117         43.1796         1.80654         
W169    2096.37         2101.3          0.123268        0.997655        47.2987         1.5691          
W170    2095.54         2099.63         0.130486        0.998055        43.931          0.262339        
W171    2096.16         2529.93         0.0910091       0.828548        1.05442         4.52798e-06     
W172    2096.99         2100.73         0.130375        0.998222        51.0236         0.536549        
W173    2097.78         2098.54         0.132672        0.999635        32.476          3.20934         
W174    2098.5          2112.04         0.123453        0.993592        42.2376         1.0053          
W175    2099.18         2101.35         0.125714        0.998967        50.6373         1.73476         
W176    2099.81         2098.44         0.145345        1.00065         40.2498         1.17228         
W177    2100.38         2103.01         0.138747        0.998748        47.8521         2.06663         
W178    2100.91         2100.26         0.137829        1.00031         45.1083         0.945165        
W179    2101.38         2098.23         0.140235        1.0015          40.608          0.979831        
W180    2101.8          2102.02         0.137179        0.999893        43.7702         0.986371        
W181    2102.16         2106.5          0.139299        0.997939        46.5006         0.959361        
W182    2102.48         2100.49         0.139918        1.00095         44.6316         2.33201         
W183    2102.74         2089.96         0.146182        1.00611         41.7818         0.766448        
W184    2102.95         2097.41         0.143577        1.00264         42.3564         0.738808        
W185    2103.11         2096.77         0.144094        1.00302         45.7525         0.223685        
W186    2103.21         2118.49         0.1269          0.992789        42.5747         1.01133         
W187    2103.26         2089.58         0.152194        1.00655         45.6742         0.812111        
W188    2103.26         2100.43         0.148665        1.00135         41.6183         0.715178        
W189    2103.21         2093.99         0.148822        1.0044          45.6436         0.919471        
W190    2103.11         2115.33         0.132083        0.994221        44.3795         0.877829        
W191    2102.95         2104.66         0.137526        0.999185        42.5514         0.471297        
W192    2102.74         2102.81         0.141869        0.999968        42.2972         2.14372         
W193    2102.48         2110.21         0.134393        0.996336        42.7351         1.72386         
W194    2102.16         2107.3          0.134675        0.997564        43.7548         0.499026        
W195    2101.8          2102.57         0.140794        0.999633        47.5264         0.653038        
W196    2101.38         2098.45         0.144898        1.00139         40.7859         0.988415        
W197    2100.91         2104.79         0.135019        0.998156        43.6028         1.07081         
W198    2100.38         2094.98         0.140138        1.00258         42.1615         1.13046         
W199    2099.81         2099.89         0.134134        0.999962        51.806          1.26597         
W200    2099.18         2096.73         0.139055        1.00117         37.2639         0.918906        
W201    2098.5          2104.66         0.147129        0.997074        29.4296         3.07404         
W202    2097.78         2094.22         0.137973        1.0017          34.9075         0.850263        
W203    2096.99         2092.36         0.136444        1.00222         48.5357         0.798232        
W204    2096.16         2092.77         0.141205        1.00162         65.8826         0.592147        
W205    2096.73         3749.93         0.141601        0.55914         1.05439         4.51856e-06     
W206    2097.57         2112.44         0.140128        0.992958        44.6905         1.88647         
W207    2098.35         2103.72         0.136801        0.997446        46.5599         2.79381         
W208    2099.08         2096.24         0.136082        1.00135         49.2139         1.83586         
W209    2099.75         2111.66         0.125732        0.994363        41.0196         0.340141        
W210    2100.38         2085.91         0.151815        1.00694         39.3756         1.29869         
W211    2100.96         2102.01         0.138671        0.999498        47.2765         0.98635         
W212    2101.48         2094.82         0.141802        1.00318         48.9332         1.06272         
W213    2101.95         2113.3          0.127938        0.994629        47.9439         0.570682        
W214    2102.37         2106.98         0.136587        0.997811        45.2887         0.220297        
W215    2102.74         2088.94         0.152243        1.0066          47.7972         1.13237         
W216    2103.05         2110.56         0.133699        0.996443        47.2547         0.55535         
W217    2103.31         2112.18         0.129801        0.995801        44.3983         0.969072        
W218    2103.52         2113.2          0.127753        0.995422        47.6457         0.458394        
W219    2103.68         2103.31         0.135314        1.00018         51.9472         1.17801         
W220    2103.79         2116.47         0.12694         0.994009        47.1987         1.03094         
W221    2103.84         2107.19         0.137767        0.998411        43.0762         2.95786         
W222    2103.84         2104.73         0.142923        0.999579        45.2629         1.79368         
W223    2103.79         2102.3          0.144797        1.00071         45.6091         2.80074         
W224    2103.68         2106.59         0.138957        0.998619        45.0213         0.347457        
W225    2103.52         2119.13         0.130716        0.992637        50.3236         0.984865        
W226    2103.31         2100.78         0.143559        1.00121         44.4615         0.819547        
W227    2103.05         2091.3          0.148958        1.00562         47.5626         1.17121         
W228    2102.74         2102.7          0.138907        1.00002         47.273          1.11092         
W229    2102.37         2107.11         0.137527        0.997752        47.6245         0.442984        
W230    2101.95         2089.92         0.151057        1.00576         39.9277         2.79709         
W231    2101.48         2106.01         0.139477        0.997848        41.7673         1.05245         
W232    2100.96         2094.08         0.143371        1.00328         44.9008         1.12378         
W233    2100.38         2100.16         0.147053        1.0001          45.1253         1.26507         
W234    2099.75         2117.12         0.129395        0.991799        42.1345         0.952515        
W235    2099.08         2106.88         0.127377        0.996297        32.1371         0.860885        
W236    2098.35         2113.33         0.11905         0.99291         45.2255         0.960959        
W237    2097.57         2109.79         0.127839        0.994207        47.9707         0.62083         
W238    2096.73         2115.27         0.158418        0.991237        93.5478         2.40591         
W239    2097.25         2078.26         0.131354        1.00914         63.6653         0.352885        
W240    2098.09         2138.1          0.120948        0.981286        46.5824         2.26735         
W241    2098.87         2100            0.137796        0.999459        40.4729         2.84534         
W242    2099.6          2103.96         0.138181        0.997929        39.4448         1.02566         
W243    2100.28         2094.16         0.138396        1.00292         44.6384         1.64774         
W244    2100.9          2109.96         0.129626        0.995706        39.9186         1.06249         
W245    2101.48         2112.81         0.128322        0.994637        46.6396         0.473339        
W246    2102            2100.4          0.137418        1.00076         43.5708         1.03307         
W247    2102.47         2116.07         0.128902        0.993574        48.3612         2.71264         
W248    2102.89         2098.37         0.145021        1.00216         48.3628         1.0731          
W249    2103.26         2108.95         0.144126        0.997304        48.3227         0.678997        
W250    2103.58         2110.16         0.138748        0.996881        44.9882         0.674062        
W251    2103.84         2102.8          0.14125         1.00049         48.253          2.02478         
W252    2104.05         2106.75         0.133013        0.998718        49.9257         0.704406        
W253    2104.21         2096.47         0.142414        1.00369         49.5694         0.944394        
W254    2104.31         2097.91         0.145263        1.00305         45.5485         2.77078         
W255    2104.36         2098.41         0.144272        1.00284         47.5542         1.14454         
W256    2104.36         2113.16         0.13816         0.995836        46.5144         2.00996         
W257    2104.31         2101.8          0.145406        1.00119         49.1947         0.901084        
W258    2104.21         2099.61         0.151766        1.00219         45.2703         1.04866         
W259    2104.05         2087.69         0.154928        1.00784         55.6675         1.18109         
W260    2103.84         2111.16         0.140808        0.996531        49.1461         3.37695         
W261    2103.58         2104.51         0.142539        0.999556        45.8204         0.388029        
W262    2103.26         2106.78         0.137128        0.99833         46.2996         0.852169        
W263    2102.89         2098.07         0.136853        1.0023          54.6678         1.10757         
W264    2102.47         2108.82         0.135337        0.996992        45.6247         1.2112          
W265    2102            2091.99         0.143883        1.00479         39.709          1.39254         
W266    2101.48         2119.17         0.135619        0.991651        38.2625         1.34148         
W267    2100.9          2075.11         0.172433        1.01243         44.6954         0.934745        
W268    2100.28         2085.29         0.164787        1.00719         37.9429         1.61974         
W269    2099.6          2095.23         0.135824        1.00208         41.5356         1.11496         
W270    2098.87         2101.37         0.131047        0.998809        45.0394         0.774662        
W271    2098.09         2094.4          0.143138        1.00176         47.6923         0.917911        
W272    2097.25         2099.2          0.14293         0.999073        65.6923         1.31796         
W273    2097.72         2080.59         0.141766        1.00823         90.7665         1.93369         
W274    2098.55         2088.42         0.140656        1.00485         46.801          2.02021         
W275    2099.33         2105.92         0.134161        0.996873        44.3522         1.65246         
W276    2100.07         2085.79         0.146607        1.00684         45.5062         0.921597        
W277    2100.75         2098.67         0.138655        1.00099         43.6194         0.807452        
W278    2101.37         2103.09         0.132544        0.999184        48.1587         1.11117         
W279    2101.95         2094.06         0.138042        1.00377         50.0125         1.24727         
W280    2102.47         2099.97         0.141933        1.00119         40.7934         1.1246          
W281    2102.95         2095.7          0.148548        1.00346         46.2409         2.68598         
W282    2103.37         2098.23         0.150969        1.00245         48.3398         0.839407        
W283    2103.73         2089.67         0.158245        1.00673         47.2492         1.8131          
W284    2104.05         2102.94         0.149986        1.00053         42.7427         2.00973         
W285    2104.31         2087.9          0.158016        1.00786         44.1587         2.26779         
W286    2104.52         2113.21         0.131443        0.995887        45.156          1.15774         
W287    2104.68         2107.96         0.13493         0.998445        43.4127         0.994753        
W288    2104.78         2096.79         0.142681        1.00381         49.7324         1.4873          
W289    2104.84         2114.69         0.137917        0.995342        44.9301         0.237058        
W290    2104.84         2085.58         0.156121        1.00924         48.1004         0.617347        
W291    2104.78         2125.7          0.131051        0.99016         55.4032         1.45307         
W292    2104.68         2090.16         0.155902        1.00695         48.1618         3.07244         
W293    2104.52         2123.09         0.13614         0.991256        49.9184         1.76326         
W294    2104.31         2097.85         0.146417        1.00308         57.3652         2.23149         
W295    2104.05         2102.19         0.144105        1.00089         50.8452         0.365265        
W296    2103.73         2100.42         0.142343        1.00158         45.2512         1.00659         
W297    2103.37         2121.94         0.124403        0.991246        44.2898         0.645567        
W298    2102.95         2099.54         0.133831        1.00162         45.4966         0.790832        
W299    2102.47         2122.86         0.126449        0.990395        40.7872         1.28154         
W300    2101.95         2084.59         0.151035        1.00833         41.8048         0.988339        
W301    2101.37         2122.32         0.13329         0.990131        39.3112         2.08548         
W302    2100.75         2100.21         0.144221        1.00025         39.1756         1.7303          
W303    2100.07         2100.18         0.137651        0.999944        42.8723         1.42702         
W304    2099.33         2108.68         0.135757        0.995569        42.941          1.2992          
W305    2098.55         2090.44         0.14803         1.00388         40.8533         0.699812        
W306    2097.72         2084.3          0.142359        1.00644         53.127          0.983388        
W307    2098.14         2107.24         0.137744        0.995681        56.5099         1.43564         
W308    2098.97         2111.2          0.124958        0.994209        48.8473         0.771882        
W309    2099.75         2101.73         0.13074         0.999059        35.9211         1.06506         
W310    2100.48         2111.64         0.127211        0.994718        39.6297         0.357112        
W311    2101.16         2102.4          0.13195         0.999414        44.9544         0.925387        
W312    2101.79         2104.9          0.128031        0.998525        52.0255         0.73147         
W313    2102.37         2101.07         0.131935        1.00062         49.7241         1.54785         
W314    2102.89         2102.87         0.137314        1.00001         49.4863         2.19464         
W315    2103.36         2098.95         0.142335        1.0021          43.3826         1.89827         
W316    2103.78         2114.67         0.131149        0.994853        47.9563         1.03482         
W317    2104.15         2120.78         0.12879         0.992158        45.1012         1.15047         
W318    2104.47         2108.55         0.139114        0.998065        42.1879         2.50816         
W319    2104.73         2095.19         0.149806        1.00455         44.1593         1.69535         
W320    2104.94         2115.59         0.132217        0.994965        44.8675         0.70127         
W321    2105.1          2099.24         0.137765        1.00279         49.8802         1.35664         
W322    2105.2          2127.7          0.123324        0.989426        53.3235         2.34204         
W323    2105.26         2099.59         0.144491        1.0027          48.3835         0.751981        
W324    2105.26         2107.86         0.143869        0.998764        42.6369         1.44129         
W325    2105.2          2114.58         0.136051        0.995565        48.1172         0.926176        
W326    2105.1          2102.8          0.148644        1.00109         44.8499         1.1698          
W327    2104.94         2094.63         0.152308        1.00492         46.4754         1.48202         
W328    2104.73         2113.91         0.136922        0.995656        48.1391         0.991898        
W329    2104.47         2106.91         0.139104        0.998843        49.2072         1.03052         
W330    2104.15         2096.17         0.146586        1.00381         46.5573         0.820138        
W331    2103.78         2092.57         0.145954        1.00536         48.5746         1.58321         
W332    2103.36         2110.87         0.135975        0.996443        54.8341         0.931609        
W333    2102.89         2082.16         0.15898         1.00996         49.2726         1.44147         
W334    2102.37         2103.36         0.147058        0.999527        45.393          0.840357        
W335    2101.79         2105.79         0.131503        0.998099        53.9119         2.07023         
W336    2101.16         2104.46         0.129171        0.998435        39.2112         0.527462        
W337    2100.48         2107.25         0.131095        0.996789        41.359          1.62009         
W338    2099.75         2080.04         0.149715        1.00948         46.3345         1.31855         
W339    2098.97         2112.43         0.131385        0.993626        44.8135         2.73072         
W340    2098.14         2099.3          0.138886        0.999444        76.2621         1.41023         
W341    2098.5          2100.21         0.130472        0.999187        58.3635         0.746677        
W342    2099.33         2093.87         0.132678        1.00261         45.0492         0.636641        
W343    2100.12         2099.45         0.132873        1.00032         39.8467         1.26173         
W344    2100.85         2092.4          0.139283        1.00404         44.6998         0.827227        
W345    2101.53         2092.68         0.141947        1.00423         44.3164         1.47406         
W346    2102.16         2106.59         0.129213        0.997895        55.6734         1.31588         
W347    2102.73         2108.17         0.123935        0.997422        48.2469         3.11479         
W348    2103.26         2109.03         0.126412        0.997263        50.2487         1.0443          
W349    2103.73         2110.19         0.130958        0.996939        46.1335         0.375584        
W350    2104.15         2099.53         0.140502        1.0022          46.6804         0.830678        
W351    2104.52         2098.6          0.144932        1.00282         47.2373         1.0432          
W352    2104.84         2104.95         0.13925         0.999947        46.8318         2.63605         
W353    2105.1          2127.35         0.125386        0.989541        43.0253         2.73027         
W354    2105.31         2092.67         0.146318        1.00604         47.2106         1.08901         
W355    2105.47         2104.02         0.143051        1.00069         45.8513         0.577379        
W356    2105.57         2099.79         0.145543        1.00276         50.0169         2.87103         
W357    2105.63         2103.55         0.147764        1.00099         45.1553         1.88858         
W358    2105.63         2099.25         0.1493          1.00304         45.3887         2.97318         
W359    2105.57         2096.46         0.150009        1.00435         49.2158         1.82809         
W360    2105.47         2111.55         0.142503        0.997121        44.7306         1.68148         
W361    2105.31         2101.75         0.145939        1.00169         54.9816         5.04267         
W362    2105.1          2106.01         0.139278        0.999566        49.2253         0.864232        
W363    2104.84         2100.61         0.138455        1.00201         47.2115         1.13755         
W364    2104.52         2110.8          0.132374        0.997024        44.8041         0.547616        
W365    2104.15         2100.22         0.143014        1.00187         56.9308         0.737605        
W366    2103.73         2112.81         0.130032        0.995702        68.0267         2.28526         
W367    2103.26         2119.8          0.127877        0.992195        64.3571         1.09796         
W368    2102.73         2092.36         0.141195        1.00496         52.0959         0.766315        
W369    2102.16         2101.27         0.130826        1.00042         48.3034         0.690341        
W370    2101.53         2111.26         0.123722        0.99539         53.3743         1.25526         
W371    2100.85         2097.53         0.133751        1.00158         52.737          0.725717        
W372    2100.12         2106.69         0.131869        0.996879        49.4205         1.56835         
W373    2099.33         2103.48         0.130311        0.99803         43.4786         0.748151        
W374    2098.5          2094.32         0.137736        1.00199         79.6604         1.33262         
W375    2098.81         2091.65         0.128984        1.00342         69.3134         0.864366        
W376    2099.65         2102.83         0.128783        0.998486        43.5636         0.934781        
W377    2100.43         2093.23         0.137106        1.00344         44.5267         0.859009        
W378    2101.16         2110.76         0.13074         0.995451        45.3516         0.354388        
W379    2101.84         2096.35         0.138216        1.00262         40.1031         0.53992         
W380    2102.47         2100.76         0.13497         1.00081         46.3757         0.81748         
W381    2103.05         2102.24         0.131064        1.00039         44.2422         0.307228        
W382    2103.57         2099.56         0.134232        1.00191         47.219          1.42271         
W383    2104.05         2108.39         0.141001        0.99794         47.6766         1.40374         
W384    2104.47         2111.3          0.135705        0.996763        52.4132         3.25339         
W385    2104.83         2096.75         0.148538        1.00386         52.2879         0.502064        
W386    2105.15         2100.81         0.147578        1.00206         48.1635         1.73456         
W387    2105.41         2094.1          0.146085        1.0054          49.2247         1.67706         
W388    2105.62         2111.76         0.134877        0.997095        42.9362         2.15615         
W389    2105.78         2102.54         0.142629        1.00154         47.7029         0.750699        
W390    2105.89         2109.22         0.144907        0.998419        47.8776         3.32057         
W391    2105.94         2101            0.150934        1.00235         48.8363         0.919476        
W392    2105.94         2121.79         0.135633        0.992532        48.4872         5.22897         
W393    2105.89         2109.38         0.143673        0.998344        51.4853         3.69588         
W394    2105.78         2096.24         0.148376        1.00455         47.7888         1.78472         
W395    2105.62         2116.19         0.136597        0.995008        47.3577         1.1388          
W396    2105.41         2107.66         0.141823        0.998935        46.1391         1.34422         
W397    2105.15         2107.6          0.133934        0.998836        44.5168         1.80658         
W398    2104.83         2121.18         0.122516        0.992294        45.5339         1.36475         
W399    2104.47         2091.4          0.149978        1.00625         49.8083         1.06453         
W400    2104.05         2097.85         0.146545        1.00296         52.6621         1.5377          
W401    2103.57         2104.7          0.133604        0.999463        56.5916         1.13326         
W402    2103.05         2117.47         0.125464        0.993191        46.9076         0.0801208       
W403    2102.47         2102.56         0.130121        0.999956        41.2229         1.23376         
W404    2101.84         2108.68         0.132898        0.996759        39.4367         0.701067        
W405    2101.16         2088.76         0.143126        1.00594         44.927          0.88273         
W406    2100.43         2099.6          0.134758        1.0004          48.132          0.53425         
W407    2099.65         2098.49         0.133621        1.00055         52.2598         0.330161        
W408    2098.81         2101.67         0.137594        0.998639        28.2708         1.06522         
W409    2099.07         2093.52         0.132449        1.00265         77.4205         0.534555        
